Name,Area: posneg_MZ25_36_25230101131_1.raw (F1),Area: posneg_MZ25_36_25230101131_2.raw (F2),Area: posneg_MZ25_36_25230104334_1.raw (F3),Area: posneg_MZ25_36_25230104334_2.raw (F4),Area: posneg_MZ25_36_25230977231_1.raw (F5),Area: posneg_MZ25_36_25230977231_2.raw (F6),Area: posneg_MZ25_36_25231053631_1.raw (F7),Area: posneg_MZ25_36_25231053631_2.raw (F8),Area: posneg_MZ25_36_25231493132_1.raw (F9),Area: posneg_MZ25_36_25231493132_2.raw (F10),Area: posneg_MZ25_36_25231779233_1.raw (F11),Area: posneg_MZ25_36_25231779233_2.raw (F12),Area: posneg_MZ25_36_25240047631_1.raw (F13),Area: posneg_MZ25_36_25240047631_2.raw (F14),Area: posneg_MZ25_36_25241550131_1.raw (F15),Area: posneg_MZ25_36_25241550131_2.raw (F16),Area: posneg_MZ25_36_25241552631_1.raw (F17),Area: posneg_MZ25_36_25241552631_2.raw (F18),Area: posneg_MZ25_36_25241554131_1.raw (F19),Area: posneg_MZ25_36_25241554131_2.raw (F20),Area: posneg_MZ25_36_25241560631_1.raw (F21),Area: posneg_MZ25_36_25241560631_2.raw (F22),Area: posneg_MZ25_36_25250093831_1.raw (F23),Area: posneg_MZ25_36_25250093831_2.raw (F24),Area: posneg_MZ25_36_25250108136_1.raw (F25),Area: posneg_MZ25_36_25250108136_2.raw (F26),Area: posneg_MZ25_36_25250975931_1.raw (F27),Area: posneg_MZ25_36_25250975931_2.raw (F28),Area: posneg_MZ25_36_25251285334_1.raw (F29),Area: posneg_MZ25_36_25251285334_2.raw (F30),Area: posneg_MZ25_36_25251386131_1.raw (F31),Area: posneg_MZ25_36_25251386131_2.raw (F32),Area: posneg_MZ25_36_25251400831_1.raw (F33),Area: posneg_MZ25_36_25251400831_2.raw (F34),Area: posneg_MZ25_36_25251700131_1.raw (F35),Area: posneg_MZ25_36_25251700131_2.raw (F36),Area: posneg_MZ25_36_25251906231_1.raw (F37),Area: posneg_MZ25_36_25251906231_2.raw (F38),Area: posneg_MZ25_36_25252083431_1.raw (F39),Area: posneg_MZ25_36_25252083431_2.raw (F40),Area: posneg_MZ25_36_25260053133_1.raw (F41),Area: posneg_MZ25_36_25260053133_2.raw (F42),Area: posneg_MZ25_36_25260285242_1.raw (F43),Area: posneg_MZ25_36_25260285242_2.raw (F44),Area: posneg_MZ25_36_25261136032_1.raw (F45),Area: posneg_MZ25_36_25261136032_2.raw (F46),Area: posneg_MZ25_36_25261211132_1.raw (F47),Area: posneg_MZ25_36_25261211132_2.raw (F48),Area: posneg_MZ25_36_25261284831_1.raw (F49),Area: posneg_MZ25_36_25261284831_2.raw (F50),Area: posneg_MZ25_36_25261810039_1.raw (F51),Area: posneg_MZ25_36_25261810039_2.raw (F52),Area: posneg_MZ25_36_25270020731_1.raw (F53),Area: posneg_MZ25_36_25270020731_2.raw (F54),Area: posneg_MZ25_36_25270595638_1.raw (F55),Area: posneg_MZ25_36_25270595638_2.raw (F56),Area: posneg_MZ25_36_25270693831_1.raw (F57),Area: posneg_MZ25_36_25270693831_2.raw (F58),Area: posneg_MZ25_36_25270803931_1.raw (F59),Area: posneg_MZ25_36_25270803931_2.raw (F60),Area: posneg_MZ25_36_25270968333_1.raw (F61),Area: posneg_MZ25_36_25270968333_2.raw (F62),Area: posneg_MZ25_36_25271191931_1.raw (F63),Area: posneg_MZ25_36_25271191931_2.raw (F64),Area: posneg_MZ25_36_25280384031_1.raw (F65),Area: posneg_MZ25_36_25280384031_2.raw (F66),Area: posneg_MZ25_36_25280538631_1.raw (F67),Area: posneg_MZ25_36_25280538631_2.raw (F68),Area: posneg_MZ25_36_25280599031_1.raw (F69),Area: posneg_MZ25_36_25280599031_2.raw (F70),Area: posneg_MZ25_36_25280740431_1.raw (F71),Area: posneg_MZ25_36_25280740431_2.raw (F72),Area: posneg_MZ25_36_25281070133_1.raw (F73),Area: posneg_MZ25_36_25281070133_2.raw (F74),Area: posneg_MZ25_36_25281097731_1.raw (F75),Area: posneg_MZ25_36_25281097731_2.raw (F76),Area: posneg_MZ25_36_25281885731_1.raw (F77),Area: posneg_MZ25_36_25281885731_2.raw (F78),Area: posneg_MZ25_36_25371469831_1.raw (F79),Area: posneg_MZ25_36_25371469831_2.raw (F80),Area: posneg_MZ25_36_25371523931_1.raw (F81),Area: posneg_MZ25_36_25371523931_2.raw (F82),Area: posneg_MZ25_36_25371729131_1.raw (F83),Area: posneg_MZ25_36_25371729131_2.raw (F84),Area: posneg_MZ25_36_25371767632_1.raw (F85),Area: posneg_MZ25_36_25371767632_2.raw (F86),Area: posneg_MZ25_36_25380127633_1.raw (F87),Area: posneg_MZ25_36_25380127633_2.raw (F88),Area: posneg_MZ25_36_blanco_1.raw (F89),Area: posneg_MZ25_36_blanco_2.raw (F90),Area: posneg_MZ25_36_expQC_1.raw (F91),Area: posneg_MZ25_36_expQC_2.raw (F92),Area: posneg_MZ25_36_expQC_3.raw (F93),Area: posneg_MZ25_36_expQC_4.raw (F94),Area: posneg_MZ25_36_expQC_5.raw (F95),Area: posneg_MZ25_36_expQC_6.raw (F96),Area: posneg_MZ25_36_expQC_7.raw (F97),Area: posneg_MZ25_36_expQC_8.raw (F98),Area: posneg_MZ25_36_expQC_9.raw (F99)
Hippuric acid.HMDB0000714,7527763.73267549,7996508.50443485,4845374.47127274,4969233.0449814,3607855.50632586,3468592.83293071,4001054.61060157,3966420.6090827,3610110.62902333,3802962.51046652,14460949.0020797,13441013.6660491,2625632.55301619,2491820.23129928,10539760.5429979,11504956.4657052,7280965.80332375,7507241.37977385,1954370.99569529,2052968.62961023,2759831.51821727,2790544.78793746,23933470.0004679,22976597.6055267,9450808.67979842,9713287.67037612,22948511.1706886,24593155.2746328,2821310.98158469,2713969.06257618,3913735.44050595,4009882.08954257,7548709.18632059,7706944.89285922,4680129.89690487,4833632.06768893,14550489.2882194,14886616.9166364,3557212.77430638,3471280.80645678,3092071.34172565,3191784.04950439,4376723.85559054,4226794.9398725,42031134.7628724,41124870.6695213,19577459.0923375,17593686.352312,5617410.907066,6105417.04799684,3002500.19879957,7495.87834569572,3071301.7391151,3311903.69463059,14870684.4354857,14512732.5953618,301349628.24762,282323677.615378,1064625.62261384,1039445.70575538,10203679.215838,9152212.72306268,5398709.97160111,5289258.38272926,14030378.6002049,14608336.1402916,8357891.98298692,8554375.8397997,23572798.4199564,22571592.2482262,6089860.0781125,6293349.05756016,10735261.2737422,9824428.68577612,38119280.8545308,43287249.5935649,2110595.83857704,1978683.87144585,2866594.94285465,2938091.00337031,25853351.7081442,26022223.725352,5308514.11586136,4976256.55721946,6443834.0018616,6486180.5185904,12494222.9575869,12171852.8989826,16456.9892553906,10023.5830333975,13928911.5697353,15337988.8071844,15323016.2402473,15480287.5909734,15320388.5218742,15848113.8965021,16439593.2004874,16338840.5962445,17019872.8986759
(S)-2-methylbutanal,3478404064.5398,752051998.260916,391375524.705758,1452747112.90834,4688097924.14948,457624194.921268,1266851625.51643,1169032461.47236,1153190041.07176,1162280819.37018,800195703.264433,1502751592.17426,1567059551.87155,2845561450.19446,241991009.082337,2880573838.21008,1033364801.42757,2816294263.22474,1265106730.26598,673419629.498232,334167431.564265,1911486359.85812,1907202683.99349,3258197294.67688,3663270982.76715,716439551.012445,1547930502.74918,1926304812.49717,1241032039.40179,1853514357.02783,4347809964.85861,4163769000.59113,886045941.035782,890344532.999659,1257284820.30104,1699053517.54772,737257681.971902,1201607155.77749,3339824642.76892,2945948503.15932,2912559987.24701,742098671.634755,793360057.909779,2170883601.83789,3976823079.65396,1802553705.56288,1598150556.19239,1570494846.962,1022126610.68565,945707020.853941,919242750.144147,1059835081.09133,2151597646.30622,465743243.846065,3519628179.70356,951644675.092853,1849818863.66776,294983156.608503,2737330657.20379,1668076201.28405,2890417930.51685,3032291279.76621,2447006560.56398,2067669734.12307,719416865.479774,692285431.016842,2142721818.945,725104329.40173,2647402743.71627,1224804486.5646,3802853148.32233,1513095841.93491,4203397381.77118,2529828570.89205,2122330012.28021,724806632.822535,1914628769.27806,2850108329.88238,3283497972.89211,3295945709.6899,3550698055.61523,1505045533.56574,2692493405.3198,1481703667.02359,1430042763.43339,346845831.317798,4432436012.15688,4393863650.61825,2743835381.50057,165189497.819448,4928547084.50915,2628353810.63715,3775581355.25501,2618736734.49741,1792985337.98271,918494411.620251,179060125.852714,3088261462.34983,1647117968.54302
(S)-2-methylbutanal,1245208837.14462,3735078753.0176,320302702.019026,569610778.429347,4144047867.92558,764537672.494971,2588447783.6207,565451052.784968,2505218726.88803,418555347.491557,1003257662.95827,4526722594.46371,320718604.867557,3438311545.31971,670769122.158784,1580649412.29871,689793488.722437,550722369.595643,1696321181.79096,2818262611.90131,921864890.220444,564282137.10167,3036243338.38662,4333400928.57218,1797756362.07386,529157991.861633,1437807548.37701,450750651.993753,687347928.791643,3098319281.53523,2019147120.80248,523359560.560968,2199749268.59192,592984295.210912,1238850625.22701,529542676.44485,1494517182.988,362699166.017695,2971472202.08821,3434478780.14176,2798084250.08055,2328921482.54343,548535748.116284,2511314809.25014,208893902.694256,473265701.236897,1518438562.77595,641537673.495924,1703236401.5558,894253127.555329,999713283.374063,2685523162.98715,1924604007.72454,574593214.289585,2768750478.38319,638285565.633409,1267719291.73103,1665272416.10901,909179134.723428,1360413529.64823,605926644.942812,1448793800.42167,1551015919.75891,1396050158.01064,521495820.258444,2168083217.79403,569452720.221439,1789215069.81251,2557806627.70208,2764755963.31726,2520210111.84835,534061034.084287,1338829957.27793,1710388044.94146,3873494708.77994,4812481211.36222,1736676945.12788,587477302.852869,722761511.033764,427332235.638106,2446210275.56882,2270747068.32176,4625810652.23778,557230892.852682,3689797748.44144,3463870980.60365,3711819797.60936,1419520323.87725,2933901316.32639,4395669521.9375,2219938804.22287,1488644807.88544,1087399002.60693,409167752.204831,2155235844.7796,595719158.349368,527784812.059937,2320156883.6616,749916787.692897
Corchorusoside E,156701.360603626,155317.439218379,71386.3848139341,64794.992326619,2297136.57693292,26173.3449413608,107093.042189447,127501.359668941,188095.795863425,30407.8375999728,170446.510253527,30595.4761893466,193281.483678986,31837.9228961738,31314.2164402522,50872.2260590898,29635.3113628905,204817.451128782,34220.7508594098,28198.5328976374,84656.5904805286,148789.886099166,21249.6708249243,172617.694380016,128151.04007814,24027.3024765636,59932.1355124295,68192.8549225755,94386.553416525,171574.329843344,25630.7656776263,33765.6180630543,42440.9122484934,25588.3399589649,42652.350397327,41449.8660179411,106405.247582466,95670.3169816983,533301270.068931,512839465.11025,62375.9423117959,54458.6997893365,19201.0058508639,72781.3803033964,20198.8937371465,48428.7138962536,37582.2206968185,32303.2635624777,137331.109635499,159789.955360321,80849.3395585479,108886.276515653,70935.1526410328,77196.4526246998,77772.0831492995,114689.181448175,68522.1120812223,183526.864439133,35369.1959133142,24025.6910282167,57987.3853534949,68401.0806637883,47367.4401587225,54014.9209708039,167259.592554229,180917.731037643,76174.3712955113,60287.1510541528,36545.5504766621,131596.45564385,139033.926820801,146803.574293589,43235.1298932086,51408.2348128256,54912.2858609675,32747.7237253146,74003.8682881832,40383.6531107803,84209.2367673567,84552.6164987017,35214.2929973084,33138.9415535727,121231.639235423,122629.509196336,237145.189443948,99789.5874197894,22097.4675311998,26853.4456151325,107835.226450287,157734.469132208,161802.431191038,140038.039069447,143026.814429772,139555.440766572,67287.7470038448,170693.524308961,52907.4030727048,183571.237905878,201332.088050339
L-Carnitine.HMDB0000062,621910301.01671,617005294.005165,497584068.48612,454966279.978945,452458292.568616,447680826.912689,280133483.796566,277249006.718458,219981584.780376,232119055.505819,518063405.422925,524811989.890109,401705113.802861,398854258.602745,522503314.777968,492675311.266381,622980425.404516,645151763.270711,588459656.227043,570067002.768015,427351039.436577,467723869.488709,550239474.769306,520808421.291916,542599282.272302,600518273.171532,648458282.072757,636116862.53497,640482765.012784,614842153.9993,505197821.829064,497691877.470529,543189154.471665,553584793.831634,571690403.849612,569434914.773734,552320430.333092,553827582.015527,281538987.264877,276457789.25463,589749534.051391,584568597.637466,420372239.306726,420966995.954648,652958598.398685,635326887.309465,720792347.144074,655952619.80022,538066823.171545,534348436.122056,230619218.415711,227397784.872675,589781490.174514,625771739.294061,908126449.555703,950874508.650038,860722200.210653,854771145.471846,846938898.25622,831637703.492599,533384446.581602,517335164.065329,505926232.162033,504017644.624779,543844629.810984,539610411.632089,177607979.239954,183904027.264044,508282921.391518,505075803.406761,583490657.29139,540440856.791272,512112129.896398,517493593.212675,530157233.736884,563587448.569051,570382277.500277,553834968.996724,689922119.432737,694994703.123513,458462493.130017,450492795.532745,306639308.18104,312843075.167438,491394308.181454,492466685.4839,618673239.891194,611949608.801346,106176.698509606,77931.1937303788,503014593.521738,503038878.19436,519226873.010644,520480060.458029,519873451.854437,511520359.773891,515380421.061076,536991693.040276,515361387.785715
(S)-2-methylbutanal,2277918617.68656,491048050.219196,282144011.493289,477888010.319275,544367364.30949,1517049340.6482,503883211.74802,647413192.720784,2505218726.88803,502506542.327786,1620524967.90962,1974567845.09809,405690111.848171,496926150.418623,1782900276.86869,1468459500.42686,509609116.810226,851507033.044538,531527954.794461,2818262611.90131,2258878796.93937,513143109.614807,617005763.774084,4333400928.57218,1375710156.74015,481882450.436553,492568591.176107,548913623.493069,507473072.015941,518708779.572206,499970984.82111,503252298.243504,2199749268.59192,540387897.526932,1099137257.094,460248082.989946,857325920.532617,295747067.086919,520036771.718836,3992102150.64764,4304824592.96293,423246511.171506,527906475.919822,534119182.902435,431342062.454438,1469192703.3243,819094981.685977,540530110.067421,503829790.386953,480872244.59432,350452303.47651,489169611.658481,768653146.011783,511623649.345406,2146786746.18822,579228250.955895,1054689974.68586,813022075.955975,349777965.657169,2686742453.88927,508809935.563702,586265301.771409,559107947.27697,1396050158.01064,484003722.926716,533997611.051072,815326558.011097,531858090.639275,2256092749.6742,477078413.494406,476515336.229421,447856421.915052,453952045.912017,549179931.358326,355588605.615837,445035552.966104,2661679573.68499,496539075.1522,493337807.80736,2542705567.80751,1193576967.1958,2270747068.32176,2430777100.67534,527599070.822032,474513166.987072,488477266.756784,1536826458.76343,519433248.10076,592109218.653682,1699648731.59678,279212939.40622,1164643662.10405,1800714195.19861,465327455.856204,1169901974.12658,528772729.567865,2181258362.67272,3971208894.93969,1005169063.35531
2-Octenoylcarnitine.HMDB0013324,3384319.20111653,3471173.60565221,43108769.1968536,45424286.0365513,59485123.2419361,59080956.1417733,30678062.6918607,30240503.3547785,14769597.1367595,15368149.9959531,18095206.5420485,18300247.403656,17772001.6195842,16537471.6484316,28435491.6615529,27588211.2855449,55421793.3714576,59228149.360861,28578071.4792336,29046863.0972625,20896943.9444314,21601911.2439529,43560783.1754057,41836546.996571,27668393.909179,30411558.7933531,53112596.0158743,53790221.3708869,115330800.290256,110077548.479444,49312356.4671789,50153870.0995159,30473155.5560934,30661634.2659488,38722849.4782573,38678033.3559884,23083016.8929927,22552672.2963963,24274342.3503219,22327934.6485637,20070745.8148329,20464383.0789169,40487811.5836845,38140615.7307321,1447314.95067684,1461472.144233,7393964.53330372,7139825.65490347,28289734.3806234,29250799.9615296,12505687.6967624,12014496.2410506,23764037.8593325,24389943.8032401,77576440.359627,77585090.5511678,67425147.9975384,66032599.9622837,37557471.4635572,36351344.5764617,30577244.8018581,30582371.5533605,12064054.4729754,11977478.6851969,11803144.6231389,12579295.3244857,11276808.6832167,11540809.2063348,24706497.9824108,23670996.6674175,51448140.459437,48596683.8896224,38442472.8769689,37724759.625211,20627016.3613483,21930764.5626712,47107833.79234,45282177.9831658,47573237.3557232,48108234.1216726,8830054.78299602,8743684.75507458,22062041.7332429,22880772.1557428,70939508.0579061,72265807.9877081,55011820.7622364,57411602.0363958,50595.0538910328,28307.029452549,117625692.522618,116970068.221268,119164138.450132,117429011.901371,119638264.017241,122771098.546665,122781458.647554,121474282.703269,119837882.828149
N-Acetyl-L-alanine.HMDB0000766,4455079.93281286,5053799.38052251,3303552.49582653,3063305.70016362,4128671.74264742,4041383.15916114,8080716.17510252,8110861.96076933,3715842.99490987,3651000.34479283,2425344.84058794,2294839.90435763,5174900.43726886,5200702.77546358,2985933.31451641,2880728.91406252,3127323.05263949,3287953.92332495,3545175.218916,3294299.54647338,2962143.32791863,2756403.68767314,2860937.68556469,3016181.41196746,2126602.35341613,2327510.10997423,3845952.17381347,3735927.01007995,3157208.1697498,2906345.90995268,2508632.20057027,2699182.94929319,2770842.31779374,2825741.38239989,3395472.94985398,3412264.69429045,3649177.861559,3827378.23745963,10037014.1572373,10653966.1219011,2151316.53371269,1958700.58010569,3290911.18987477,3054694.88874408,2640151.45503434,2732828.69093549,2955517.81185749,2795979.33601897,3076074.09380053,3381650.18107468,3403894.16304958,3080373.95262034,2778526.20666253,2739262.20171428,6084649.92681393,6603474.81254916,7865579.05545924,6901971.09504256,4486053.67220175,4144146.24959735,2859896.78661331,2440901.80348484,2458966.30228769,2517233.41669506,3658331.64523522,3934011.04601922,4079842.34782343,4273512.20928903,4075712.06405591,3985010.98303179,2396382.05407365,2375102.19957263,3319891.72599286,3467894.58124322,3440710.92011063,3366215.75723977,7170061.93788019,6937656.03610806,3506709.46945001,3507807.09987168,2874995.19479215,2991383.51449385,6102557.17752981,5509064.16527577,7682196.02423187,7464804.21882502,3321833.06514359,3113570.65993739,42986.9302334111,77029.7364352108,2698067.39046811,3034942.29616377,3000436.84535649,2952756.25743724,2953146.41150226,2731660.07943253,2998733.03694274,3043272.23303167,2925895.46147089
Heptanoylcarnitine.HMDB0013238,262159.619465133,689301.003673062,447413.267951168,530618.376240618,389795.174912671,379731.079329692,310614.971579981,331386.338494428,863816.97515214,266691.91394386,233514.584584069,217873.653944846,428680.69653265,430195.231216253,169425.974135287,230611.470092891,199538.373280007,101959.681786261,489362.054236807,230180.742533317,136823.435651151,153601.157623666,91914.4018150917,247419.33042572,293712.036287434,541411.775962702,262637.832830817,339384.998624233,131574.512684497,191235.871653907,156994.194033411,141292.054297056,241412.671723261,179757.09018527,174284.14873917,213697.771585634,132102.231601301,201349.260136415,339679.504324046,258037.211105116,413255.760376143,344308.503156473,242927.656670787,295902.437350417,135563.904170252,195259.58234506,298584.937096165,599383.144663119,230065.556326476,165757.663921061,308648.768077447,176663.952798859,213508.286814204,84953.4148968123,2100720.104269,283751.836335035,370797.96298875,334048.649466899,234075.887643526,60582.9286750457,195151.421691605,170630.485842072,307653.638334021,385245.489708433,227118.059981984,194133.907935966,479037.637576329,377007.087022674,846568.427424098,275992.768488336,280251.73920151,198884.388413732,240690.373518366,225686.234352139,93420.7486682051,182949.619826281,309779.037728549,327227.805241309,253418.445063844,328671.960649235,225961.055998695,213243.64848122,450858.428500652,449377.317773753,310842.661244282,400193.671769214,239357.82944144,195854.648747537,265493.616473682,151838.226436022,104816294.963487,99883838.531414,98422006.8297592,99006536.6456697,101423203.034958,104410524.715899,101638642.777369,107700815.233059,100849317.248818
Isovalerylcarnitine.HMDB0000688,2274689.89509985,2219589.93813234,4049348.45321291,4062185.63102528,2900207.07595696,2930295.86617583,2709583.29991167,2392818.58342633,2302054.82331324,2472712.37190661,7929407.70796389,9928870.61555385,2293583.53956816,2286449.79669272,2380411.94605206,2234779.69184917,3555448.7574548,6728257.58493953,5197678.45527404,2375710.43086113,3100541.80447872,3350229.84227127,5519685.28835677,2085883.88099898,2163721.51779131,7789454.82697951,2774687.22136166,3263050.1294109,6062309.93870013,2632435.21192484,2152049.40497167,2265572.26490251,5243785.0552629,2700615.23446703,2117663.34075538,1971171.84094524,7693904.37422464,3007790.40795754,2941004.30978019,2637875.73614238,5278733.42067303,3699610.29786537,2202982.1793538,2054463.94240109,1782843.72669168,3272688.73862313,3395150.13252968,3052565.22643213,1813694.70574833,1569942.13383938,1386092.82664603,1303885.97585653,1462612.86116148,1840956.56593377,22466678.2902237,22692244.8404784,9823670.34984149,8897289.89794906,2659452.87611952,5448760.44513401,5254894.5425424,4912099.50253528,3106403.08826362,3076614.02554932,3690531.50416668,3251343.08961797,3906875.89447509,3657004.59757061,5048714.97524785,2994933.80095307,3441131.75206997,4871579.89423782,13423306.9015904,13296995.7843944,5870470.05367193,7844265.58684496,6505249.15135028,7263507.2035583,3357899.87695823,3396095.40420002,3429483.49335251,3575354.01136387,7030654.1366969,7710959.00024288,7165616.26824064,8064904.6604543,6239325.24114101,9322843.56891966,485377.835826398,96679.3000219764,82352474.2905977,80747641.0808934,83801562.1892375,83685515.5475979,82767623.9720176,83823124.7705359,80928250.9705515,81647004.4707187,82205930.7662801
,963138690.626077,2772903554.06021,1683268230.67129,854928843.275249,1187185697.22641,810950508.421803,1294957117.52165,701742567.803434,763847751.528708,745917881.135419,5214014394.20919,3156628818.36844,4498631547.24709,632527612.552755,1090749720.07342,989231364.525971,691756267.385198,3600442916.23697,632627695.503617,930941080.751133,568062764.242093,812854886.577929,3392179746.944,634893755.515374,2520286576.62395,820455633.370702,1368262375.78496,924781878.108563,1117662857.74598,2046300820.795,691107851.863219,1031065906.57772,1983211238.35682,530603905.673678,763897121.452225,872202826.905178,1082971065.18433,1005735508.17718,862443732.883664,352859424.521481,733636160.140078,653626443.860151,718780897.094204,635433462.636827,892715651.8173,1749161458.95195,4500682226.46048,567832212.589115,3992091272.06678,953463676.140567,902151530.134265,742193630.489934,706913155.753479,769076948.838573,800743043.588037,729677482.98736,1021399805.25784,1076597184.94572,1101070554.85467,785374659.075938,800846496.319802,588135459.996877,580143100.272152,796457302.148386,1344259763.85403,674055306.095122,967905089.247435,1139437727.49235,935251627.411538,2943521642.38932,736475269.126364,718644247.921484,942416299.023763,627283387.158341,1273800704.13615,1000493956.57838,754594946.216099,4420679800.68469,844944376.433119,942666636.350288,649079070.054377,569917348.817177,883796398.744502,870223546.486576,3488818534.80991,4582369896.63437,2644129914.96581,804111689.165975,629646502.762862,3804486776.3852,611006380.669648,571279103.337351,710292182.037935,962577255.491014,1024407972.28579,834036116.394637,779724312.906114,1004906980.42089,927188951.074756
Octanoylcarnitine.HMDB0000791,9670642.29216334,9575608.13024265,21957950.0701019,22673123.1341153,15337029.4443691,14748130.9223407,5892766.09755189,5780936.69295716,3481650.37925734,3678175.67832415,4691238.92028183,4866790.92237035,14922498.0488841,14023800.4682113,4123397.8658347,4252200.73164333,4061211.96964622,4185929.42854098,2291238.87361406,2542469.95353323,5658352.54593521,6465873.96073744,9510594.71616933,8328194.26501424,12225626.5159799,13884628.6052179,12282055.6981399,12202233.3303507,2930514.10335674,2834769.51751388,2092380.05146919,2137579.66904343,3430538.91269393,3331264.54682864,7047325.07960547,7247035.5747024,6844752.61305312,6671604.4507814,4466437.45481447,3858063.32778341,3417769.95003827,3403005.09040902,3898263.18584524,3889052.28849122,6497000.85155446,6338892.62412694,15850015.4392407,13667429.0316096,3587845.78331562,3748088.37146593,14921372.7907513,14103858.7555137,2889058.10596579,2947373.62102899,6378750.49785465,6238373.27149828,5777740.84347167,5229805.17483984,2231804.40760129,2067919.44345899,7612264.13681666,7649294.12883249,32420754.9585742,30283023.7544895,8692970.76414194,9001057.7419869,6208963.07715832,6363071.57079349,1624729.18165994,1417943.79647083,2363776.52227084,2311733.68726587,32467983.1726111,28622464.4729875,7749937.98993212,8831933.73007579,10334610.3708145,9407042.69751766,8930424.90221198,8839784.96410667,2937726.59299698,2804301.240071,3168442.74402252,3110663.1012313,8655595.91612897,8923990.31391184,8214252.88917451,8083218.89028923,44965.4834706231,21607.9011840418,92558089.2639704,89565579.2816504,91393463.6195072,93204242.0855276,93577166.1076968,96652651.4960383,98796075.7455155,101026770.289996,99161987.9899525
dimethyl itaconate,1518710303.78091,1806651333.1059,1041310844.60755,1135415964.85784,1231030180.29447,2055592036.39345,1532364608.73713,1480742658.97054,1188218995.4532,1760411997.71866,1121121270.40332,1131271155.61654,1275327029.15225,1122683423.87663,1324235405.27937,1498774932.87317,1895680900.99546,1655940446.01407,2204296921.59977,2882561402.22109,1409273559.70202,1511628791.89392,1388129412.3869,1865504711.9686,2473933602.79791,1910738638.90197,1185394898.24527,2090810610.68921,1289344934.62863,974020218.692518,1401033070.93443,1344583208.10743,1994369761.1901,1925196611.74617,1265880805.76314,1238070400.6836,1398298588.17268,907236508.171269,1102259796.25106,908353724.871736,1736717412.96899,2514531151.44592,1566176543.90887,1280522121.0884,1347360216.02629,1259308078.09315,1711326190.67337,1847183536.88784,1027434037.76722,1201968383.83854,1377257770.58051,1457852682.67527,1438895715.42699,1519763852.42802,1266021637.96153,1171925072.37904,1701107081.75608,1288315325.85409,1614889051.21972,2756652802.25027,1793683947.2123,2062407712.33581,1135959409.95591,1468229329.85358,1225075039.99298,933600059.579986,1200409577.45009,1117412034.36119,1628108671.98647,1977862348.54287,1894980854.55787,2355373655.477,2141826239.04562,2111144489.54513,945622088.974028,882980693.165498,1768967638.20995,1731570571.56296,1044360946.24107,1119951241.56925,1815862624.11725,1644178513.8634,999369204.037777,1336467936.67453,1701461279.31293,1879111683.50247,1264542265.8139,2113190555.93816,1919755746.10925,540037842.594082,1582305202.7245,1517816264.6488,1592621992.22612,1540517124.85514,1596178393.29378,1615319491.66091,1601078267.00315,1638099105.77828,1540839165.85382
L-Acetylcarnitine.HMDB0000201,337104896.500084,345998748.561633,836696570.207004,822842726.326502,365356037.161202,353829904.559509,291448488.102803,275973064.558683,502146100.183381,540882520.619516,245893462.362397,250262088.949081,910699296.860905,932321179.577241,152323003.782216,146819131.33128,219183529.120149,225705952.222678,191250088.40643,193520623.196567,128738806.264813,137433978.303148,254787414.162823,248311747.389848,299864156.786038,316734524.629963,300496592.267421,295080226.179867,279646761.907257,266906321.668697,139685088.49885,140190887.294874,132961671.711839,132276156.989117,551476490.578077,547956918.056329,524203484.880591,517461167.689437,165294426.406283,160261359.921636,292241059.977499,280902841.999587,295032507.266337,274036252.385637,122646081.804965,119055063.382932,560205456.030683,514083532.052739,182256304.366949,179477659.944448,481575251.017336,459616805.724573,158251205.081875,162844290.470888,778273925.288824,794623961.25292,346805470.001385,330204991.420335,295456481.866391,288633656.314605,172445433.515635,167998856.487962,243944665.811136,237806745.234284,309631272.966311,311072052.074294,739588917.538029,751881113.074445,197769401.641411,199083821.261982,168240506.933727,158789170.256219,369699487.56142,357311823.291133,151682263.197415,163965644.292649,660671260.428588,650497936.998177,406258460.914195,409082316.197794,145993391.184895,140331975.268146,189019361.013825,185672779.682347,461329482.657617,444171333.296226,274491399.558852,273245822.326319,20456.7510148523,13964.6491698528,321525902.025965,321282745.914135,326136921.475146,329675196.327251,323352872.166676,331180488.980864,329566812.742073,344580358.04182,327634065.253918
